,headline,news_category,org
278,"BofA downgrades HDFC Bank, cuts target price after 20% rally from Feb-lows ",NaN, The Economic Times
279,"Trade Spotlight: How should you trade JBM Auto, Ceat, Zomato, Sun Pharma, Ipca Labs, and others on... ",NaN, Moneycontrol
280,'People Don't Purchase High-End Luxurious Cars To Suffer Discomfort' : Supreme Court Holds Mercedes Benz... - Live Law ,NaN, Indian Legal News
281,'Trading at 32X... risk of correction GREATEST in...' - Jefferies' market view ahead of Budget 2024 ,NaN, ET Now
282,IPO GMP Price Today: Rs 258 Latest Grey Market Premium! Last date subscription ALERT ,NaN, ET Now
283,Paytm In Hot Water As Bengaluru Labour Body Looks Into Allegations Of Forced Layoffs Without Pay: Report ,NaN, Benzinga India
284,"Mazagon Dock shares correct over 10% from record highs; Cochin Shipyard, GRSE too decline ",NaN, CNBCTV18
285,"Sensex tumbles 1,000 pts intraday: Why are stock markets falling today? ",NaN, Business Standard
286,"Official employment data masks India's jobs problem, say economists ",NaN, Business Standard
287,"Auto Stocks Shift Gears: Maruti Suzuki soars on policy boost, M&M, Tata Motors lag; ‘Hybrid’ a must-have, say analysts ",Stock Market News,Mint
288,Bansal Wire IPO listing: Shares list at 39% premium on NSE; key things to know ,NaN, Upstox
289,"SEBI Committee Set To Evaluate F&O Expert Panel Recommendations On Volatility, Leverage ",NaN, NDTV Profit
290,Gold price in India: Rates on July 10 ,NaN, FXStreet
291,"Zomato CEO Deepinder Goyal, wife Grecia Munoz celebrate delivery giant’s 16th birthday with Gurgaon school kids ",NaN, Hindustan Times
292,"REC, PFC shares hit a new record high; Should you add or book profits? ",NaN, CNBCTV18
293,"Telecom equipment manufacturing sales cross Rs 50,000 crore milestone under PLI Scheme ",NaN, PIB
294,Q1 result season begins: 30 companies may report over 100% growth in profit ,NaN, The Economic Times
295,Asian Paints hikes prices by 0.7-1% across portfolio ,NaN, CNBCTV18
296,"Weekly picks: From TVS Motor to BHEL, Motilal Oswal suggests these three stocks to buy this week ",Stock Market News,Mint
297,Angel One Data Breach: Investors' data leaked? Brokerage comments on reports ,NaN, ET Now
298,New Hyundai Exter Knight Edition Teased - Or Is It N Line? ,NaN, RushLane
299,Reliance Jio introduces new ’true unlimited upgrade’ add-on plans amid customer backlash over tariff hikes ,NaN, Mint
300,Amazon Pay India bats for fair MDR on UPI payments to small merchants ,NaN, The Economic Times
301,Union Budget 2024-25 likely to go vocal for higher local procurement ,NaN, Business Standard
302,"NPCI likely to fix 1.2% interchange for credit line on UPI, issue circular next week ",NaN, CNBCTV18
303,Buyback Alert: KDDL to repurchase shares from existing shareholders at a 12% premium ,NaN, CNBCTV18
304,RVNL Inks MoU With IMS Consultancy For Technical And Advisory Services In Nepal ,NaN, Benzinga India
305,"RVNL, Siemens Bag Order From Bengaluru Metro For Advanced Rail Electrification ",NaN, Benzinga India
306,"Trade Spotlight: How should you trade Nestle, Alkem Labs, Hindustan Copper, BHEL, and others on Tuesday? ",NaN, Moneycontrol
307,‘Will take you to court’: Angry investor to Zerodha CEO Nikhil Kamath ,NaN, The Times of India
308,"Market Trading Guide: Dr. Reddy's, Eicher Motors among 6 top stock recommendations for Wednesday ",NaN, The Economic Times
309,Chandra Shekhar Ghosh hangs up boots as Bandhan Bank MD and CEO ,NaN, Business Standard
310,"YES Bank’s $5 billion stake said to attract lenders from the Middle East, Japan ",NaN, The Economic Times
311,Microsoft quits Sam Altman's OpenAI board: ‘No longer necessary…’ ,NaN, Hindustan Times
312,"Top Gainers and Losers today on 10 July, 2024: Asian Paints, SBI Life Insurance Company, Mahindra & Mahindra, Tata Steel among most active stocks; Check full list here ",Stock Market News,Mint
313,"Share Market HIGHLIGHTS: Sensex, Nifty50 retreat from record highs amid weakness in auto, financial ",NaN, Zee Business
314,"No link between UP hybrid car policy and XUV 700 price cut, clarifies M&M ",NaN, Moneycontrol
315,"2024 BYD Atto 3 Electric Launch Price 25 Lakh - 3 Variants, 521 Kms Range ",NaN, RushLane
316,EV race: Are hybrid vehicles getting in the faster lane? ,NaN, The Economic Times
317,Kotak Warns Of 'Crushing And Lasting Impact' Of Possible SEBI Guardrails On Derivatives Trading ,NaN, Benzinga India
318,Budget 2024 may propel a key element of the Modi govt's Panchamrit goals ,NaN, The Economic Times
319,"Khadi sales rise 9.3% to Rs 6,496 crore in FY24 ",NaN, The Times of India
320,Grecia Munoz breaks Instagram silence months after marrying Zomato CEO Deepinder Goyal. See post ,NaN, Hindustan Times
321,Hyundai Exter Goes Black With Knight Edition - Celebrates 1st Anniversary With 93k Sales ,NaN, RushLane
322,Adani Power Shares Jump On Energy Agreement With Reliance ,NaN, Benzinga India
323,"2024 TVS Apache RTR 160 Race Edition Launched - Rs 1.29 L, Sportier Design ",NaN, RushLane
324,Bajaj Freedom 125 — How does CNG tech work? ,NaN, The Financial Express
325,"ICICI Bank, SBI among Nomura’s 4 preferred banking stocks ahead of Q1 results ",NaN, The Economic Times
326,Delta Corp's Share Price Plummets As Q1 Net Profit Takes Huge Hit ,NaN, Benzinga India
327,Accenture Acquires Cientra to Expand Silicon Design Capabilities - Newsroom ,Accenture,
328,"Angel One assures data integrity, denies any new leak of customer data ",NaN, Moneycontrol
329,BEL zooms 80% YTD; should investors chase the PSU defence stock’s stellar performance? ,NaN, Moneycontrol
330,Zepto selling dhaniya for ₹140 in Gurgaon has social media united in outrage ,NaN, Hindustan Times
331,"Nifty Auto plummets nearly 3% as M&M, Tata Motors fall sharply; Maruti Suzuki hits new record high ",Stock Market News,Mint
332,"Equity Fund Inflows Jump by 17% In June To Over ₹40,000 Cr, Shows AMFI Data ",NaN, Benzinga India
333,Export duty on parboiled rice may be fixed at $100/tonne ,NaN, The Economic Times
334,"HDFC Bank share declines after BofA downgrades stock to ‘neutral’, cuts target price ",NaN, Mint
335,Technical View ,NaN,Moneycontrol
336,"RBI cautions banks against ‘lakhs of accounts’ used for fraudulent transactions, evergreening ",NaN, The Indian Express
337,Wealthy Indians can buy property and get residency in these 10 countries: Check how much it costs ,NaN, CNBCTV18
338,Powell speech: We see current Fed policy as restrictive ,NaN, FXStreet
339,"Tata Curvv New Teasers Show Off-road Prowess In Thar Desert, Himalayas ",NaN, RushLane
340,Supreme Court orders Mercedes to refund ₹36 lakh for defective car - Bar & Bench ,NaN, Indian Legal News
341,Tata Elxsi Q1 Results: Net profit falls 3% YoY to Rs 184 crore ,NaN, The Economic Times
342,Canara Bank plans to raise Rs 10K cr through infrastructure bonds in FY25 ,NaN, Business Standard
343,"Top 5 index SIP mutual funds in 5 years: No. 1 fund has turned Rs 25,000 monthly SIP into Rs 31 lakh; has BEL, Trent, and HAL as its main stocks ",NaN, Zee Business
344,NHPC Share Price Target till BUDGET: Check make-or-break level for PSU stock ,NaN, ET Now
345,Raymond committed to creating sustained shareholder value across businesses: Gautam Singhania ,NaN, Moneycontrol
346,ONGC to invest ₹2 lakh cr to meet net zero emission target ,NaN, The Hindu
347,Cognizant settles Wipro lawsuit against former Chief Financial Officer Jatin Dalal ,NaN, CNBCTV18
348,"M&HCV, bus sales shift up in Q1; top 4 players register 7.2 growth ",NaN, Business Standard
349,Brokerages Bullish On Maruti After UP Government's Tax Waiver For Hybrid Vehicles ,NaN, Benzinga India
350,Bansal Wire share price falls marginally post robust listing. Should you hold or exit? ,NaN, The Economic Times
351,"HDFC Bank share declines after BofA downgrades stock to ‘neutral’, cuts target price ",Stock Market News,Mint
352,"Stock market today: BSE Sensex surges over 600 points to move above 80,500; Nifty50 above 24,500 as bulls ",NaN, The Times of India
353,IREDA share price hits lifetime high ahead of Q1 results today. Should you buy as PSU stock jumps 25% in three days? ,Stock Market News,Mint
354,"Stocks to watch today: TCS, Adani Wilmar, Infosys, Vodafone Idea & more ",NaN, Upstox
355,TCS Q1 FY25 earnings surprise prompts major brokerages to up target prices ,NaN, Moneycontrol
356,CPI inflation continues to be close to 5%... it's too early to talk on rate cut: Shaktikanta Das ,NaN, The Economic Times
357,Quant Mutual Fund's CFO resigns amid Sebi's front-running probe ,NaN, The Economic Times
358,RBI allows residents to open foreign currency bank accounts within Indian jurisdiction ,NaN, The Financial Express
359,"Stock market today: Trade setup for Nifty 50 to Q1 results today, five stocks to buy or sell on Friday — July 12 ",Stock Market News,Mint
360,"RailTel shares jump 11%, hit fresh 52 week high; multibaggers IRFC, Ircon join party with new peaks ",NaN, The Economic Times
361,"140 million HDFC Bank, Axis customers may face service interruption ",NaN, Business Standard
362,Jio Financial Services Jumps On Receiving RBI Nod To Go From NBFC To Core Investment Company ,NaN, Benzinga India
363,Zomato Shares Hit All-Time High As Brokerage Raises Price Target ,NaN, Benzinga India
364,UP Govt’s hybrid vehicle tax waiver not for all cars - conditions apply ,NaN, CNBCTV18
365,Stocks to buy or sell: Ponni Sugars to Mazda — Sumeet Bagadia recommends five breakout stocks today ,Stock Market News,Mint
366,"S&P 500, Nasdaq tumble after US CPI inflation moderates; GIFT Nifty up ",NaN, Moneycontrol
367,Zee Entertainment announces dates for board meet to consider fund raise; Stock surges 6% ,NaN, CNBCTV18
368,"Data centers to push India's power generation needs, $280 billion investment expected ",NaN, ETEnergyWorld
369,"Reliance Jio could list at $112bn valuation, 15% upside in RIL: Jefferies ",NaN, Business Standard
370,Gold Price Falls In India: Check 22 Carat Rate In Your City On July 11 ,NaN, News18
371,Oil extends gains after US inflation data pushes Wall Street to lift Fed rate cut bets; Brent stays above $85/bbl ,Stock Market News,Mint
372,"HCL Tech Q1 Results Preview: PAT may grow 6% YoY to Rs 3,745 crore, revenue uptick seen at 6.5% ",NaN, The Economic Times
373,Anand Rathi Wealth Q1 Result ,NaN,CNBCTV18
374,Sachin Tendulkar-Backed Small Cap Stock Jumps 4% On Bagging Siemens Order ,NaN, Benzinga India
375,"ONGC, Oil India, Selan on fire; Here's what fueled up to 13% rally today ",NaN, Business Standard
376,Acer ties up with Indkal Technologies to enter Indian phone market ,NaN, The Economic Times
377,"Gold surges above $2,400 mark as US Inflation data boosts rate-cut expectations; silver up 2.7% ",Stock Market News,Mint
378,Mahindra & Mahindra stock declines for second consecutive day - Is it right time to buy? Check target b... ,NaN, Zee Business
379,Shortage of India-made Solar Modules Hits Projects with DCR Mandate ,NaN, Mercom India
380,Adani Wilmar Diversifies Portfolio With Majority Stake Acquisition In Speciality Chemicals Company ,NaN, Benzinga India
381,Could SEBI's new proposal unintentionally favour BSE over NSE? ,NaN, Finshots
382,BYD Introduces Affordable Atto 3 Variant With Smaller Battery Pack ,NaN, Mobility Outlook
383,Namita Thapar's emotional post on Emcure IPO listing: ‘Mirza Ghalib sums up my feelings’ ,NaN, Hindustan Times
384,Bajaj Freedom CNG Tank Filling Experience - Public Reactions Caught On Cam ,NaN, RushLane
385,Brookfield to buy controlling stake in Leap Green for $550 million ,NaN, The Economic Times
386,"SJVN share price: LIC ups stake, retail shareholding rises to 12 lakh ",NaN, CNBCTV18
387,Multibagger Small Cap Railway Stock Wins ₹432 Cr Order From Railways ,NaN, Benzinga India
388,iPhone and Android users beware of the fake India Post messages ,NaN, CNBCTV18
389,Adani Realty Tops Hurun Real Estate Ranking As Most Valuable Unlisted Company ,NaN, NDTV Profit
390,Hindustan Zinc Inks Deal To Acquire 180-MW Renewable Energy From Serentica ,NaN, NDTV Profit
391,"Four public issues to hit Dalal Street on July 12, check the details here ",NaN, Moneycontrol
392,Nearly 70% of TCS employees return to office after variable pay is linked to attendance ,NaN, Moneycontrol
393,Budget 2024: Remedial steps to fire up local manufacturing ,NaN, The Economic Times
394,Demat account additions cross 40 lakh for the fourth time in June; NSE active clients up by 3% ,Stock Market News,Mint
395,First Abu Dhabi Bank denies interest in acquiring stake in Yes Bank: Report ,Stock Market News,Mint
396,"Compact SUV Sales June 2024 - Creta, G Vitara, Seltos, HyRyder, Elevate, Taigun, Kushaq ",NaN, RushLane
397,Hyundai India Celebrates EXTER's First Anniversary With Launch Of EXTER Knight ,NaN, Mobility Outlook
398,ABB India Shares Under Pressure As UBS Downgrades Stock ,NaN, Benzinga India
399,D-Street's cooling earnings momentum set to challenge stock rally ,NaN, The Economic Times
400,Here's how Nvidia's chips may disrupt big fat Indian weddings ,NaN, Moneycontrol
401,"Decoding Airtel’s new Xstream Fiber bundles, seeking value with Live TV and OTT ",NaN, Hindustan Times
402,Yes Bank shares jump 7% after an outlook upgrade from Moody's ,NaN, CNBCTV18
403,"Mutual Funds, FIIs Cut Shareholding in Bharat Electronics ",NaN, Benzinga India
404,"Shipping Corporation of India stock jumps another 16.5%, up 40% in 3 sessions. Here's what triggered the rally ",Stock Market News,Mint
405,"HPL Electric surges 15% on bagging Rs 2,000 crore order ",NaN, Moneycontrol
406,"Vi shareholders okay Rs 2,458 cr preferential issue to Nokia, Ericsson ",NaN, Business Standard
407,"Mahindra Thar 5-door Spied Again In Three New Shades, To Debut On August 15 ",NaN, CarDekho
408,"Car Retail Sales June 2024 - Maruti, Hyundai, Tata, Mahindra, Toyota, Kia, Honda, Citroen, Jeep, BYD ",NaN, RushLane
409,277% return in 1 year: This multibagger PSU stock in focus today - Heres why ,NaN, Zee Business
410,"Explainer: Vijay Kedia stock, Adani Power among over 1,000 other scrips knocked out of acceptable NSE coll ",NaN, The Economic Times
411,"Tata Elxsi Shares In Red After Net Profit Falls, Kotak Maintains 'Sell' ",NaN, Benzinga India
412,BSNL presence crucial to keep in check private telcos’ monopolistic pricing: BMS to PM Modi ,NaN, ETTelecom
413,Analyst suggests buying this multi-bagger defence PSU stock before Budget 2024 ,Check out target,Zee Business
414,Raymond Shares Hit Upper Circuit After Trading Ex-Date For Lifestyle Arm Demerger ,NaN, NDTV Profit
415,"Top 5 multicap mutual funds with highest SIP returns in 5 years: Rs 20,000 monthly SIP in No.1 fund has gro... ",NaN, Zee Business
416,Ambuja Double Upgrade: Nomura sees another 18% upside on Adani Group cement stock ,NaN, CNBCTV18
417,"Neuralink to implant second brain chip next week. Elon Musk says, ‘to give people super powers…’ ",NaN,Mint
418,DNEG Group completes acquisition of Prime Focus Technologies ,NaN, DNEG
419,The Two Stocks That Witnessed Highest FII Activity On Wednesday ,NaN, NDTV Profit
420,"TCS shares surge over 6% on strong Q1 show, lifting D-Street to fresh record highs ",NaN, The Economic Times
421,RBI governor hints interest rates may stay higher for longer ,NaN, The Times of India
422,"Trade Spotlight: How should you trade Tata Motors, Voltas, BPCL, BHEL, EIL, ITC, and others on Friday? ",NaN, Moneycontrol
423,Jio Financial Services gets RBI green light to become a core investment company ,Stock Market News,Mint
424,"Zerodha's prompt action hailed as ‘Overtrader’ loses ₹10 lakh due to a bug, gets refund in 48 hours. What went wrong? ",Stock Market News,Mint
425,RCF stock zooms 10% to hit record high on Rs 515 cr-order win ,NaN, Moneycontrol
426,"Adani Wilmar to buy 67% stake in Omkar Chemicals, aims to expand footprint ",NaN, Business Standard
427,India outshines China with 36 real estate companies valued at over a billion dollars ,NaN, The Economic Times
428,Yes Bank Shares Climb 7% As Moody's Outlook Upgrade Takes Note Of Healthy Performance ,NaN, Benzinga India
429,"Vodafone Idea gets shareholders' nod for 2,458 crore preferential issue to Nokia, Ericsson ",NaN, CNBCTV18
430,"HCL Tech Q1 Results: Cons PAT jumps 20% YoY to Rs 4,257 crore, beats estimates ",NaN, The Economic Times
431,"Nifty IT soars 5% on strong TCS Q1 earnings, Fed rate cut hopes; nears all-time high ",Stock Market News,Mint
432,India’s retail inflation rises to 4-month high of 5.08% in June ,NaN, Moneycontrol
433,"HDFC Bank, JPMorgan Chase: Top 25 global banks' m-cap hits $4.11 trn in Q1 ",NaN, Business Standard
434,"Traders Diary: Buy, sell or hold strategy on TCS, Infosys, Tata Steel, GCPL, BHEL, Voltas, over a dozen oth... ",NaN, Zee Business
435,RIL Q1 results FY 2024-25 date and time: ANNOUNCED! Ambani-led Reliance Industries quarterly earnings schedule ,NaN, ET Now
436,"IREDA gains 7%, crosses Rs 300 mark for the first time: What should be your investment strategy now? ",NaN, The Financial Express
437,"US CPI cools, Fed Chair hints at rate cuts; what should investors' strategy be? ",Stock Market News,Mint
438,"Trade setup for 12 July: NIFTY50 extends consolidation, close above 24,400 reaffirms bullish trend ",NaN, Upstox
439,Reduce TCS; target of Rs 3950: Emkay Global Financial ,NaN, Moneycontrol
440,Quant Mutual Fund Clarifies CFO Resignation Happened Before SEBI Probe Amid Media Reports ,NaN, Benzinga India
441,"Ola CEO Calls For 70-Hour Work Week, Doctor Warns Of Premature Death Risk ",NaN, NDTV
442,Adani Wilmar acquires 67% stake in Omkar Chemicals ,NaN, Indian Chemical News
443,RBI allows resident Indians to open dollar accounts in Gift City. What this means for you ,NaN,Mint
444,Jio Financial Services gets RBI nod to become core investment company ,NaN, The Economic Times
445,"UP's sops for hybrid vehicles irk EV companies, add to industry's June sob story ",NaN, The Economic Times
446,"Mahindra Sales Breakup June 2024 – Scorpio, XUV700, Bolero, Thar, XUV400 EV ",NaN, RushLane
447,"Ganesh Green Bharat share price makes a bumper debut, stock opens with 90% premium at ₹361 apiece on NSE SME ",Stock Market News,Mint
448,"Tata Power invests over Rs 4,200 crore in network expansion, upgrade in Odisha ",NaN, Moneycontrol
449,Inox Wind stock jumps 10% to climb new peak; triples investors' money in a year ,NaN, Moneycontrol
450,PFC stock gains for 5th straight day; govt appoints Sandeep Kumar as Director (Finance) ,NaN, Moneycontrol
451,"'No Firm Development': Shipping Corp Denies Reports Of Oil Tanker JV, Shares Race To Record High ",NaN, Benzinga India
452,Gold rises after US CPI shows cooling in inflation ,NaN, FXStreet
453,How variable pay brought 70% of TCS staff back to office ,NaN, HRKatha
454,"Invesco Lowers Valuations Of IPO-Bound Swiggy, Pine Labs ",NaN, Benzinga India
455,DLF chairman Rajiv Singh leads wealth rankings in 2024 GROHE-Hurun report on India's real estate titans ,NaN, The Economic Times
456,"Railway Stock Surges 5%, Hits Upper Circuit After Winning ₹432 Cr Order ",NaN, Benzinga India
457,"India's second electrolyser manufacturing auction oversubscribed, with bids for nearly double the cap ",NaN, Hydrogen Insight
458,"Modi govt departs from privatisation plans, might overhaul state-run firms ",NaN, Business Standard
459,Carmakers resort to discount offers and price cuts to revive volumes ,NaN, Moneycontrol
460,"Kia Exchange Your Car - Simple, Quick, Online Evaluation Tool ",NaN, RushLane
461,Union Budget 2024-25 likely to relax compliance with Customs rules ,NaN, Business Standard
462,BEL Bags Export Orders Worth ₹230 Cr From Thales Reliance Defence Systems ,NaN, Benzinga India
463,"Tata Punch ICE, CNG Facelift Spied - Exteriors, Interiors, New Details Out ",NaN, RushLane
464,Waaree Subsidary Indosolar Commences 1.30 GW Solar Module Facility ,NaN, Saurenergy
465,First Abu Dhabi Bank says not evaluating any offer for stake in Yes Bank ,NaN, Moneycontrol
466,"Zomato ordered to pay Rs 60,000 to Karnataka woman for not delivering momos worth Rs 133.25 ",NaN, The Indian Express
467,"TCS, IT Stocks Power Nifty To Fresh All-Time High ",NaN, Benzinga India
468,India's industrial production beats estimates; growth seen at 5.9% YoY in May ,NaN, The Economic Times
469,HCL Technologies Q1 Results: Profit Jumps Nearly 7% FY25 Guidance Maintained ,NaN, NDTV Profit
470,Exclusive: India antitrust probe finds Apple abused position in apps market ,NaN, Reuters
471,"TCS share price likely to open in green after Q1 results, India biz revenue strengthens show: Analysts ",Stock Market News,Mint
472,"Stocks to watch, July 12: TCS, M&M, Affle, Nazara Tech, ABFRL, Anand Rathi ",NaN, Business Standard
473,IREDA stock surges 6% to fresh record high ahead of Q1 results; up 364% in a year ,NaN, Moneycontrol
474,Gold extends correction after factory-gate inflation release surprises to the upside ,NaN, FXStreet
475,Reliance Industries to announce Q1 results on July 19. Here's what to expect ,Company Business News,Mint
476,"Sati Poly Plast IPO day 1: Check subscription status , GMP, key dates and all you need to know ",Stock Market News,Mint
477,RBIs New Circular On Foreign Currency Accounts: What It Means For Indians ,NaN, NDTV Profit
478,Exclusive: India's Modi delays privatisation plans ,NaN, Reuters India
479,"Reliance Jio IPO Likely In 2025 At $112-Billion Valuation, Says Jefferies ",NaN, NDTV Profit
480,"NSE Latest Circular: Adani Power, Yes Bank, Suzlon... - 1,010 stocks removed from THIS list - Details ",NaN, ET Now
481,Brokerages maintain optimism for M&M despite XUV 700 price cut ,NaN, Moneycontrol
482,"IREDA Q1 Results: Net profit at ₹383 crore, revenue up 32% YoY; loan sanction grows manifold to ₹9,210 crore ",Company Business News,Mint
483,"Ola CEO endorses 70-hour work week, top neurologist warns of severe illness ",NaN, Business Standard
484,Buy TCS; target of Rs 4660: Motilal Oswal ,NaN, Moneycontrol
485,"Stocks in news: TCS, HCL Tech, Anand Rathi Wealth, Prestige Estates, RIL ",NaN, The Economic Times
486,415% Returns in 1 Year: Multibagger railway PSU shines on D-Street over big orders; stock up 60% in 1 month ,Stock Market News,Mint
487,"Users Report Losing Lakhs Due To Glitch In Zerodha, Company Responds ",NaN, NDTV
488,"Over 20 MFs added these 10 stocks in June, witness a surge upto 70% in FY25 ",NaN, The Economic Times
489,"Facelifted Tata Punch Spied Again, Likely To Get A Bigger Touchscreen Unit ",NaN, CarDekho
490,Bharat Electronics Receives Export Order Worth Rs 230 Crore ,NaN, NDTV Profit
491,"US Dollar Slumps After Inflation Eases Further - Stocks, Gold, and Silver Rally ",NaN, DailyFX
492,TCS' 70% employees return to office after attendance-linked variable pay policy: Report ,Company Business News,Mint
493,"Japan’s SoftBank exits Paytm, sells remaining 1.4 percent stake ",NaN, Moneycontrol
494,"Reliance Q1 Results, India WPI, China GDP: The Week Ahead ",NaN, NDTV Profit
495,"DMart Q1 Results: PAT grows 17.5% YoY to Rs 774 crore, revenue up 19% ",NaN, The Economic Times
496,Tata Curvv To Launch On August 7: Here's All About Upcoming Coupe SUV ,NaN, NDTV
497,IREDA share price: Experts see big upside after strong Q1 results 2024. Buy or sell? ,Stock Market News,Mint
498,"Quant Mutual Fund's AUM at all time high of Rs 94,000 crore, NAVs of most schemes hit record levels ",NaN, Moneycontrol
499,"Gold Price Nears Rs 74,000 in India: Check 24 Carat Rates in Your City on July 13 ",NaN, News18
500,Retail prices in June soar to 5.08% after cooling to its lowest in a year ,NaN, Hindustan Times
501,Top Stories ,NaN,CNBCTV18
502,"RVNL, Shipping Corporation among 10 stocks rally over 10% this week - Top Gainers ",NaN, The Economic Times
503,Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday — July 15 ,Stock Market News,Mint
504,"Sahaj Solar IPO: GMP, review, subscription status to listing date. All details you may like to know about NSE SME IPO ",Stock Market News,Mint
505,"Ola CEO calls for 70-hour work week, doctor warns of health risks: ‘even premature death’ ",NaN, Hindustan Times
506,India can be world's second-largest economy by 2031: RBI DG Patra ,NaN, Business Standard
507,"Indian govt to soon launch AgriSURE fund to support agritech startups, agripreneurs ",NaN, Indian Startup News
508,Banking System Update: These banking services including UPI transfer will remain closed for 13 hours on Ju ... ,NaN, informalnewz
509,Bajaj Explains Why Freedom CNG Tank Is 2 Kgs And Not More To Give Higher Range ,NaN, RushLane
510,India's forex reserves hit an all-time high of $657.16 bn ,NaN, The Economic Times
511,How AMFI suggestions for Union Budget can help mutual fund investors ,NaN, Moneycontrol
512,Top 5 Strong Hybrid Cars In India And Their On Road Prices In Uttar Pradesh And New Delhi ,NaN, CarDekho
513,2 top stock recommendations from Rajesh Palviya for next week ,NaN, The Economic Times
514,"Nischa Shah Ex-Investment Banker Turns YouTuber, Earns Rs 8 Crore A Year ",NaN, NDTV
515,BEL Share Price: Rs 75934 cr order backlog! Book profit or HOLD PSU defence stock till Budget 2024? ,NaN, ET Now
516,ChatGPT maker OpenAI developing new breakthrough reasoning technology code-named ‘Strawberry’. Why is it important? ,NaN,Mint
517,Jio Financial share price: Should you buy this Reliance group stock on Monday before Q1 results 2024? ,NaN, Mint
518,Fitch Ratings revises outlook on Tata Steel to negative amid uncertainty surrounding UK business ,NaN, CNBCTV18
519,Oil India and Gujarat Gas are the two top picks in oil & gas sector? Swarnendu Bhushan explains why ,NaN, The Economic Times
520,"Car News That Mattered This Week (July 8-12): Hyundai Exter Knight Edition, Mahindra XUV700 Price Cut, Tata Curvv Teased, Maruti Swift Euro-NCAP Crash Tested Fresh Spy Shots Of 2025 Tata Punch And More ",NaN, CarDekho
521,Small Cap Tata Stock Reports 70% Slump In Profit In June Quarter ,NaN, Benzinga India
522,"As Sebi comes down hard on speculative trading in derivatives, investors turn to other options ",Stock Market News,Mint
523,"Weekend Wrap: From RVNL to ONGC, top market movers and news of week ",Stock Market News,Mint
524,“I have not …volunteered my sperm”: Why Elon Musk said this to an X user ,NaN, The Times of India
525,Hyundai Alcazar facelift launch in September: What’s on cards? ,NaN, The Financial Express
526,"Jio Platforms listing: A vertical split mirroring Jio Financial, or an IPO? ",Stock Market News,Mint
527,It’s Over: The German Government Has Run Out Of Bitcoin ,NaN, CryptoPotato
528,Gold extends correction after factory-gate inflation release surprises to the upside ,NaN, FXStreet
529,"‘Stocks wildly overvalued... be aware you're riding a tiger… there's no predictability’, cautions Deepak Shenoy ",Stock Market News,Mint
530,"Consumer court orders Zomato to pay Rs 60,000 to woman for not delivering Rs 133 momos ",NaN, Indian Startup News
531,"Maruti Sales Breakup June 2024 - Swift, Ertiga, Baleno, WagonR, Dzire, Brezza, EECO, Fronx ",NaN, RushLane
532,"SEBI recognises BSE as supervisory body for research analysts, investment advisers ",NaN, Upstox
533,"Nissan X-Trail 7 Seater SUV New Teaser - ADAS, Dual Pane Sunroof, Dual Zone AC ",NaN, RushLane
534,"Canara Bank, Federal Bank among 11 counters that witnessed decrease in NPAs in Q4 ",NaN, The Economic Times
535,‘...Some EV companies trying to make ‘cute’ ads’ Ola CEO Bhavish Aggarwal's tip to electric vehicle makers ,Company Business News,Mint
536,Zepto promotes Devendra Meel to CBO ,NaN, Entrackr
537,"HDFC Bank, RIL among 6 stocks owned by more than 500 mutual fund schemes ",NaN, The Economic Times
538,Promoters sell stakes worth Rs 1.1 lakh crore in 15 months amid stock market surge ,NaN, The Indian Express
539,"Bonus, Dividend Alert: Last chance to avail Abbott's ₹410 dividend, MM Forgings' free shares ",NaN, CNBCTV18
540,Coal India to ease norms for its most profitable business — More details here ,NaN, CNBCTV18
541,"Top Gainers and Losers today on 12 July, 2024: Tata Consultancy Services, Wipro, Maruti Suzuki India, Divis Laboratories among most active stocks; Check full list here ",Stock Market News,Mint
542,India calls out Apple’s ‘abusive conduct and practices’ with App Store as antitrust woes continue ,NaN, 9to5Mac
543,Rs 1125 Dividend Stocks: 73 companies' shares to turn ex-date next week – Full List ,NaN, ET Now
544,Japanese Yen Analysis – USD/JPY Trims Losses; Official Intervention or Jawboning? ,NaN, DailyFX
545,Airtel Prepaid Data Packs Get Revised: Check Details ,NaN, TelecomTalk
546,"Top 5 ELSS SIP Mutual Funds in 5 Years: Rs 25,000 monthly SIP in No. 1 fund has grown to Rs 40 lakh; know details ",NaN, Zee Business
547,Tripura consumer court pulls up SBI for delay in responding to OTP fraud complaint - Bar & Bench ,NaN, Indian Legal News
548,"Qualcomm is suing Transsion, the largest smartphone maker that doesn’t use Snapdragon ",NaN, 9to5Google
549,India's retail inflation rises to 5.08% in June; IIP grows 5.9% in May ,NaN, Business Standard
550,"Ex-Investment Banker Turns YouTuber, Earns Rs 8 Crore A Year ",NaN, NDTV
551,Air India assures ‘appropriate action’ after crew accommodated in ragged rooms ,NaN, Hindustan Times
552,"Adani Group plans to expand ports biz in Vietnam for overseas trade, receives nod to develop greenfield project: Report ",Company Business News,Mint
553,"D-Mart Q1 results: Net profit rises 17.5% to Rs 774 cr, sales up 18.5% ",NaN, Business Standard
554,"IPO Calendar: 3 new issues, 1 listing to watch out for next week ",NaN, The Economic Times
555,"IREDA, HCL Tech, Paytm, Avenue Supermarts and more: Top stocks to watch out for on July 15 ",NaN, CNBCTV18
